file,term,count
ADMIN_TROUBLESHOOTING.md,typescript,5
ADMIN_TROUBLESHOOTING.md,trpc,1
ADMIN_TROUBLESHOOTING.md,postgres,1
ADMIN_TROUBLESHOOTING.md,schema,0
ADMIN_TROUBLESHOOTING.md,router,1
ADMIN_TROUBLESHOOTING.md,auth,1
ADMIN_TROUBLESHOOTING.md,security,1
ADMIN_TROUBLESHOOTING.md,ai,0
ADMIN_TROUBLESHOOTING.md,asi,0
ADMIN_TROUBLESHOOTING.md,agent,0
ADMIN_TROUBLESHOOTING.md,skills,0
ADMIN_TROUBLESHOOTING.md,workflow,0
ADMIN_TROUBLESHOOTING.md,audio,3
ADMIN_TROUBLESHOOTING.md,daw,0
ADMIN_TROUBLESHOOTING.md,effects,0
ADMIN_TROUBLESHOOTING.md,mutation,0
ADMIN_TROUBLESHOOTING.md,infrastructure,0
ARCHITECTURE.md,typescript,1
ARCHITECTURE.md,trpc,3
ARCHITECTURE.md,postgres,1
ARCHITECTURE.md,schema,0
ARCHITECTURE.md,router,1
ARCHITECTURE.md,auth,3
ARCHITECTURE.md,security,0
ARCHITECTURE.md,ai,0
ARCHITECTURE.md,asi,0
ARCHITECTURE.md,agent,0
ARCHITECTURE.md,skills,0
ARCHITECTURE.md,workflow,0
ARCHITECTURE.md,audio,0
ARCHITECTURE.md,daw,0
ARCHITECTURE.md,effects,0
ARCHITECTURE.md,mutation,0
ARCHITECTURE.md,infrastructure,0
BACKUP_RESTORE.md,typescript,0
BACKUP_RESTORE.md,trpc,0
BACKUP_RESTORE.md,postgres,0
BACKUP_RESTORE.md,schema,0
BACKUP_RESTORE.md,router,0
BACKUP_RESTORE.md,auth,0
BACKUP_RESTORE.md,security,0
BACKUP_RESTORE.md,ai,0
BACKUP_RESTORE.md,asi,0
BACKUP_RESTORE.md,agent,0
BACKUP_RESTORE.md,skills,0
BACKUP_RESTORE.md,workflow,0
BACKUP_RESTORE.md,audio,0
BACKUP_RESTORE.md,daw,0
BACKUP_RESTORE.md,effects,0
BACKUP_RESTORE.md,mutation,0
BACKUP_RESTORE.md,infrastructure,0
DB_ADMIN.md,typescript,0
DB_ADMIN.md,trpc,0
DB_ADMIN.md,postgres,0
DB_ADMIN.md,schema,0
DB_ADMIN.md,router,0
DB_ADMIN.md,auth,0
DB_ADMIN.md,security,0
DB_ADMIN.md,ai,0
DB_ADMIN.md,asi,0
DB_ADMIN.md,agent,0
DB_ADMIN.md,skills,0
DB_ADMIN.md,workflow,0
DB_ADMIN.md,audio,0
DB_ADMIN.md,daw,0
DB_ADMIN.md,effects,0
DB_ADMIN.md,mutation,0
DB_ADMIN.md,infrastructure,0
DEPLOY.md,typescript,0
DEPLOY.md,trpc,0
DEPLOY.md,postgres,0
DEPLOY.md,schema,0
DEPLOY.md,router,0
DEPLOY.md,auth,0
DEPLOY.md,security,0
DEPLOY.md,ai,0
DEPLOY.md,asi,0
DEPLOY.md,agent,0
DEPLOY.md,skills,0
DEPLOY.md,workflow,0
DEPLOY.md,audio,0
DEPLOY.md,daw,0
DEPLOY.md,effects,0
DEPLOY.md,mutation,0
DEPLOY.md,infrastructure,0
docs_DEMO_CHECKLIST_Version2.md,typescript,0
docs_DEMO_CHECKLIST_Version2.md,trpc,0
docs_DEMO_CHECKLIST_Version2.md,postgres,0
docs_DEMO_CHECKLIST_Version2.md,schema,0
docs_DEMO_CHECKLIST_Version2.md,router,0
docs_DEMO_CHECKLIST_Version2.md,auth,0
docs_DEMO_CHECKLIST_Version2.md,security,1
docs_DEMO_CHECKLIST_Version2.md,ai,1
docs_DEMO_CHECKLIST_Version2.md,asi,0
docs_DEMO_CHECKLIST_Version2.md,agent,0
docs_DEMO_CHECKLIST_Version2.md,skills,0
docs_DEMO_CHECKLIST_Version2.md,workflow,0
docs_DEMO_CHECKLIST_Version2.md,audio,2
docs_DEMO_CHECKLIST_Version2.md,daw,0
docs_DEMO_CHECKLIST_Version2.md,effects,0
docs_DEMO_CHECKLIST_Version2.md,mutation,0
docs_DEMO_CHECKLIST_Version2.md,infrastructure,0
ONBOARDING.md,typescript,0
ONBOARDING.md,trpc,0
ONBOARDING.md,postgres,1
ONBOARDING.md,schema,1
ONBOARDING.md,router,0
ONBOARDING.md,auth,0
ONBOARDING.md,security,0
ONBOARDING.md,ai,0
ONBOARDING.md,asi,0
ONBOARDING.md,agent,0
ONBOARDING.md,skills,0
ONBOARDING.md,workflow,0
ONBOARDING.md,audio,0
ONBOARDING.md,daw,0
ONBOARDING.md,effects,0
ONBOARDING.md,mutation,0
ONBOARDING.md,infrastructure,0
QUICKSTART.md,typescript,0
QUICKSTART.md,trpc,0
QUICKSTART.md,postgres,1
QUICKSTART.md,schema,0
QUICKSTART.md,router,0
QUICKSTART.md,auth,0
QUICKSTART.md,security,0
QUICKSTART.md,ai,0
QUICKSTART.md,asi,0
QUICKSTART.md,agent,0
QUICKSTART.md,skills,0
QUICKSTART.md,workflow,0
QUICKSTART.md,audio,0
QUICKSTART.md,daw,0
QUICKSTART.md,effects,0
QUICKSTART.md,mutation,0
QUICKSTART.md,infrastructure,0
REFERENCE_STATUS_Version2 (1).md,typescript,0
REFERENCE_STATUS_Version2 (1).md,trpc,0
REFERENCE_STATUS_Version2 (1).md,postgres,0
REFERENCE_STATUS_Version2 (1).md,schema,0
REFERENCE_STATUS_Version2 (1).md,router,0
REFERENCE_STATUS_Version2 (1).md,auth,0
REFERENCE_STATUS_Version2 (1).md,security,1
REFERENCE_STATUS_Version2 (1).md,ai,0
REFERENCE_STATUS_Version2 (1).md,asi,0
REFERENCE_STATUS_Version2 (1).md,agent,0
REFERENCE_STATUS_Version2 (1).md,skills,0
REFERENCE_STATUS_Version2 (1).md,workflow,0
REFERENCE_STATUS_Version2 (1).md,audio,0
REFERENCE_STATUS_Version2 (1).md,daw,0
REFERENCE_STATUS_Version2 (1).md,effects,0
REFERENCE_STATUS_Version2 (1).md,mutation,0
REFERENCE_STATUS_Version2 (1).md,infrastructure,0
REFERENCE_STATUS_Version2.md,typescript,0
REFERENCE_STATUS_Version2.md,trpc,0
REFERENCE_STATUS_Version2.md,postgres,0
REFERENCE_STATUS_Version2.md,schema,0
REFERENCE_STATUS_Version2.md,router,0
REFERENCE_STATUS_Version2.md,auth,0
REFERENCE_STATUS_Version2.md,security,0
REFERENCE_STATUS_Version2.md,ai,0
REFERENCE_STATUS_Version2.md,asi,0
REFERENCE_STATUS_Version2.md,agent,0
REFERENCE_STATUS_Version2.md,skills,0
REFERENCE_STATUS_Version2.md,workflow,0
REFERENCE_STATUS_Version2.md,audio,0
REFERENCE_STATUS_Version2.md,daw,0
REFERENCE_STATUS_Version2.md,effects,0
REFERENCE_STATUS_Version2.md,mutation,0
REFERENCE_STATUS_Version2.md,infrastructure,0
RESTORE_CHEATSHEET.md,typescript,0
RESTORE_CHEATSHEET.md,trpc,0
RESTORE_CHEATSHEET.md,postgres,0
RESTORE_CHEATSHEET.md,schema,0
RESTORE_CHEATSHEET.md,router,0
RESTORE_CHEATSHEET.md,auth,0
RESTORE_CHEATSHEET.md,security,0
RESTORE_CHEATSHEET.md,ai,0
RESTORE_CHEATSHEET.md,asi,0
RESTORE_CHEATSHEET.md,agent,0
RESTORE_CHEATSHEET.md,skills,0
RESTORE_CHEATSHEET.md,workflow,0
RESTORE_CHEATSHEET.md,audio,0
RESTORE_CHEATSHEET.md,daw,0
RESTORE_CHEATSHEET.md,effects,0
RESTORE_CHEATSHEET.md,mutation,0
RESTORE_CHEATSHEET.md,infrastructure,0
SECURITY_Version6.md,typescript,0
SECURITY_Version6.md,trpc,0
SECURITY_Version6.md,postgres,0
SECURITY_Version6.md,schema,0
SECURITY_Version6.md,router,0
SECURITY_Version6.md,auth,0
SECURITY_Version6.md,security,1
SECURITY_Version6.md,ai,0
SECURITY_Version6.md,asi,0
SECURITY_Version6.md,agent,0
SECURITY_Version6.md,skills,0
SECURITY_Version6.md,workflow,0
SECURITY_Version6.md,audio,0
SECURITY_Version6.md,daw,0
SECURITY_Version6.md,effects,0
SECURITY_Version6.md,mutation,0
SECURITY_Version6.md,infrastructure,0
TRIPLE-CHECK-PASS-2.md,typescript,0
TRIPLE-CHECK-PASS-2.md,trpc,0
TRIPLE-CHECK-PASS-2.md,postgres,0
TRIPLE-CHECK-PASS-2.md,schema,0
TRIPLE-CHECK-PASS-2.md,router,0
TRIPLE-CHECK-PASS-2.md,auth,2
TRIPLE-CHECK-PASS-2.md,security,16
TRIPLE-CHECK-PASS-2.md,ai,1
TRIPLE-CHECK-PASS-2.md,asi,7
TRIPLE-CHECK-PASS-2.md,agent,0
TRIPLE-CHECK-PASS-2.md,skills,13
TRIPLE-CHECK-PASS-2.md,workflow,3
TRIPLE-CHECK-PASS-2.md,audio,0
TRIPLE-CHECK-PASS-2.md,daw,0
TRIPLE-CHECK-PASS-2.md,effects,0
TRIPLE-CHECK-PASS-2.md,mutation,0
TRIPLE-CHECK-PASS-2.md,infrastructure,0
reports/alignment_report.md,typescript,0
reports/alignment_report.md,trpc,0
reports/alignment_report.md,postgres,0
reports/alignment_report.md,schema,0
reports/alignment_report.md,router,0
reports/alignment_report.md,auth,0
reports/alignment_report.md,security,0
reports/alignment_report.md,ai,0
reports/alignment_report.md,asi,0
reports/alignment_report.md,agent,0
reports/alignment_report.md,skills,0
reports/alignment_report.md,workflow,0
reports/alignment_report.md,audio,0
reports/alignment_report.md,daw,0
reports/alignment_report.md,effects,0
reports/alignment_report.md,mutation,0
reports/alignment_report.md,infrastructure,0
design-token-compiler.ts,typescript,0
design-token-compiler.ts,trpc,0
design-token-compiler.ts,postgres,0
design-token-compiler.ts,schema,0
design-token-compiler.ts,router,0
design-token-compiler.ts,auth,0
design-token-compiler.ts,security,0
design-token-compiler.ts,ai,0
design-token-compiler.ts,asi,0
design-token-compiler.ts,agent,0
design-token-compiler.ts,skills,0
design-token-compiler.ts,workflow,0
design-token-compiler.ts,audio,0
design-token-compiler.ts,daw,0
design-token-compiler.ts,effects,0
design-token-compiler.ts,mutation,0
design-token-compiler.ts,infrastructure,0
